Record Id,Category,Icon
8JYsNyZX,Sanding,Categories_Images/8JYsNyZX.Icon.015749.png
lq4mtIrq,Installation,Categories_Images/lq4mtIrq.Icon.015613.png
P9555qGZ,Repairs,Categories_Images/P9555qGZ.Icon.015306.png
ml0pUYLw,Laser Everything,Categories_Images/Laser Everything.Icon.154850.png
y6ZXyYam,Equipment,Categories_Images/y6ZXyYam.Icon.015512.png
mnH38tQ0,Stairs,Categories_Images/mnH38tQ0.Icon.015941.png
5PWwPliO,Identification,Categories_Images/5PWwPliO.Icon.020553.png
da36834f,Administration,Categories_Images/da36834f.Icon.020311.png
